Index a_A_1             c_A_2             e_A_3             g_A_4             i_A_5             b_phi_1           d_phi_2           f_phi_3           h_phi_4           j_phi_5          
  759 -2.6957928550E+01 -7.5542259760E-01 -1.3103386794E+00 -1.5540296645E+01 -7.6948620275E+00 +2.2153204939E+02 +2.3057249410E+02 +2.5782771139E+02 +7.0436625345E+01 +1.5592667191E+02
  760 -2.5996601003E+01 -2.6679429408E+01 -1.4674847198E+01 -2.8392587185E+01 -2.3897382875E+00 +1.7373906539E+02 +3.4211197816E+02 +2.6698350564E+02 +2.4725944378E+02 +3.2043841181E+02
  761 -1.8977786738E+01 -2.3421323889E+01 -1.9036137861E+01 -2.6840734690E+01 -2.2079416757E+01 +1.5493957672E+02 +2.3235027143E+02 +3.2448926975E+02 +3.3990106203E+02 +1.5845162900E+02
  762 -6.7133880159E+00 -1.2017937172E+01 -2.1717032427E+01 -2.1976128503E+01 -6.4170678681E+00 +3.2293561632E+02 +6.6496894983E+01 +2.5149746863E+02 +9.8856950832E+00 +1.0621003843E+02
  763 -1.6938875957E-01 -1.3128353353E+01 -1.3016368536E+01 -2.6536249946E+01 -8.2744911768E+00 +1.6168260141E+02 +2.7671989313E+02 +2.2058047247E+02 +3.3477060274E+02 +2.9000797707E+02
  764 -1.2988577958E+01 -2.8074016024E+01 -2.1142938323E+01 -2.6438903242E+01 -2.7965047388E+01 +1.4711949739E+01 +3.0537784749E+01 +2.7289396342E+02 +2.8265398592E+02 +2.9598326060E+02
  765 -1.8560765143E+01 -6.4944737232E+00 -2.9932670709E+01 -2.3506170812E+01 -1.1806099768E+01 +1.5710788355E+02 +3.9959172899E+01 +1.1195054597E+02 +3.4540742954E+02 +9.4869772723E+01
  766 -8.3123904606E+00 -2.5974812161E+01 -2.9760287585E+01 -9.1478227589E+00 -1.7179570989E+01 +8.3266770171E+01 +1.4671789788E+02 +2.0856611621E+02 +5.0898693943E+01 +1.3389580294E+02
  767 -2.2240600590E+01 -4.3867017471E+00 -2.3281832606E+01 -4.2546352242E+00 -2.5550439165E+00 +1.1280583516E+02 +3.3648096950E+02 +8.4562018810E+00 +3.6533471412E+01 +2.4110094907E+01
  768 -2.6254539087E+01 -2.1604139225E+01 -7.5371468577E+00 -1.7407235617E+01 -5.0086477459E+00 +2.9198527719E+02 +2.4491899120E+02 +2.9995172250E+02 +1.5829265021E+02 +1.6566249751E+02
  769 -1.8189406019E+01 -2.4431483193E+01 -2.6402546804E+01 -5.4743126996E-01 -2.6905207211E+01 +4.8729623270E+01 +2.6604099420E+01 +1.5307538251E+02 +1.2087585218E+02 +7.2420999286E+01
  770 -7.6879754170E+00 -8.7137274983E+00 -2.6503723312E+01 -1.8045416151E+01 -2.4120214766E+01 +2.1367413165E+02 +3.4590508529E+02 +2.9666239806E+02 +2.4207255139E+02 +3.4775947179E+02
  771 -6.7090248568E+00 -4.0110055505E+00 -2.8638755055E+00 -1.6309222029E+01 -8.2589768447E+00 +2.8940172734E+02 +1.6635155718E+02 +8.6594179650E+01 +3.1530881752E+02 +1.0860509100E+02
  772 -1.4711039134E+01 -3.0266358078E+00 -2.9967472521E+01 -3.2737484861E-02 -2.2849485614E+01 +6.7548647355E+00 +2.7551067206E+02 +3.2871439737E+02 +2.6943152935E+02 +1.2687218557E+02
  773 -1.9982410199E+01 -1.8793258434E+01 -1.0619306770E+01 -2.0325018492E+01 -2.3025833338E+01 +1.8159309632E+02 +2.5601189034E+02 +2.4350984999E+02 +2.9373870255E+02 +4.3229975845E+01
  774 -2.8503776063E+01 -3.6382255713E+00 -2.0350290714E+01 -1.9105087954E+01 -1.7304111309E+01 +5.0172870879E+01 +2.4144764068E+02 +1.9524124132E+00 +1.8229396718E+02 +3.1632532646E+02
  775 -1.6801597690E+01 -9.4840914163E+00 -3.8360917940E-01 -2.7354050141E+01 -7.7597230024E+00 +2.0641385987E+02 +3.0939040431E+01 +3.5318518930E+02 +3.0366534129E+02 +1.1118209955E+02
  776 -2.7816309157E+01 -5.7658540299E+00 -5.6535857167E+00 -5.0529283607E+00 -2.0353477414E+01 +2.1492645972E+02 +1.5122257146E+02 +1.9999306374E+02 +1.1562286012E+02 +9.9136396490E+01
  777 -2.3046165620E+01 -2.3583167418E+01 -7.4187742654E+00 -1.8932153378E+00 -3.0267294346E+00 +1.5970110279E+02 +1.5765838260E+02 +3.0463749577E+02 +3.0338034072E+02 +2.5461241029E+02
  778 -1.6545019270E+01 -2.4224679885E+01 -8.2931097928E+00 -2.9315886993E+01 -1.8236703692E+01 +3.3230546594E+02 +1.2620766116E+02 +2.9582515884E+02 +2.1221028588E+02 +3.4622173363E+02
  779 -2.8238660584E+01 -1.9184985548E+01 -1.6538167978E+01 -2.3911083954E+01 -7.1311352415E+00 +2.3280507058E+02 +1.6044429528E+02 +3.0178642799E+02 +1.2182817661E+02 +2.9539492102E+02
  780 -4.8512489039E+00 -1.5084264970E+01 -2.8973854121E+01 -8.0804012451E+00 -9.1842974708E+00 +2.4907909280E+01 +1.4096500449E+02 +1.6197591104E+02 +3.5302962360E+02 +2.6040185402E+02
  781 -2.1164038675E+01 -2.3859660839E+01 -6.6111665643E+00 -2.4911721559E+01 -2.6693853080E+01 +2.5278417514E+02 +1.8816515981E+02 +1.2308062903E+02 +2.4752056332E+02 +1.3518888022E+02
  782 -3.4522157637E+00 -1.7927877159E+01 -2.4399315834E+01 -1.4555238822E+01 -1.1227703506E+01 +2.3061580336E+02 +3.1341216933E+02 +3.2091217490E+02 +3.2101451413E+02 +2.0173518911E+02
  783 -2.2478500431E+00 -2.1657635567E+01 -2.2697373111E+01 -1.5290231080E+01 -2.3375982249E+01 +8.4238587642E+01 +2.0301349880E+02 +1.9643334661E+02 +2.3021496782E+02 +3.4097515601E+02
  784 -2.1339539661E+01 -1.7564317341E+01 -2.7681861356E+01 -7.8689841963E+00 -1.9680421073E+01 +4.1714992496E+01 +2.8080848982E+02 +2.6142588232E+02 +4.0441827653E+01 +3.0269856955E+02
  785 -1.1588023871E+01 -7.5162858065E+00 -1.5223708261E+01 -1.8106202910E+01 -1.1431003222E+01 +5.9395911526E+01 +2.5513688192E+01 +1.8984093668E+02 +7.3736928137E+01 +2.8339603733E+02
  786 -1.1732793116E+01 -1.6662212860E+01 -2.0121471430E+01 -3.4255821132E+00 -1.1783538122E+01 +2.6920219366E+02 +1.9700835414E+02 +3.3328556859E+02 +1.2224904595E+02 +3.1619621100E+02
  787 -1.5503563515E+00 -1.2432963654E+01 -1.4388968748E+01 -1.0863012135E+00 -1.6216169929E+00 +3.2469675791E+02 +3.4544161346E+02 +3.5839923019E+02 +8.1173363362E+01 +1.8381793310E+02
  788 -1.0467698652E+01 -3.0999559814E+00 -2.2967188784E+00 -5.0276717890E+00 -4.9900364328E-01 +2.3110184087E+02 +1.5177679939E+02 +1.3208931584E+00 +9.9719049750E+01 +1.5449259452E+02
  789 -2.8639373597E+01 -1.2725439797E+01 -2.2359621971E+01 -1.1459571584E+01 -6.4396920732E+00 +2.4522734581E+01 +2.3279243763E+01 +2.9155301752E+02 +2.6177558714E+02 +3.3421860214E+02
  790 -2.7520245864E+01 -2.8335064166E+01 -1.0648553135E+01 -1.7939138459E+01 -7.2334323745E+00 +1.8971274457E+02 +3.0173736176E+02 +5.1665507320E+01 +1.8647826584E+02 +3.0754563932E+02
  791 -2.1288535524E+01 -1.4592759340E+01 -2.4790920629E+01 -1.1602611783E+01 -1.0700261721E+01 +1.2000855878E+02 +1.3893905957E+02 +3.4971411013E+02 +1.5133197457E+02 +1.5041090134E+01
  792 -2.2826376893E+00 -2.7275715595E+01 -1.4775520485E+01 -2.1386117697E+01 -1.7223553697E+01 +1.2489606055E+01 +1.1200763677E+02 +1.9113343043E+02 +5.2344119431E+01 +1.0315144524E+02
  793 -1.9751219015E+01 -9.5374410340E+00 -6.9005882434E+00 -2.8508549964E+01 -2.4271896333E+01 +2.4885890380E+02 +6.7709039337E+00 +3.3307035340E+02 +1.7812025841E+02 +4.1573255933E+01
  794 -1.6258765293E+01 -2.7195786779E+01 -3.5085187181E-01 -2.0811841669E+01 -6.9181865473E+00 +3.3315221980E+02 +1.5682818442E+02 +1.1219324423E+02 +7.6299221419E-01 +1.4724257640E+01
  795 -2.2696144827E+01 -9.4488913882E+00 -3.2660413364E+00 -2.2765449065E+01 -5.2972321924E+00 +1.0391756945E+02 +3.0019953474E+02 +3.2740381692E+02 +1.8951628395E+02 +2.4910671432E+02
  796 -1.0664995589E+00 -1.8297406871E+01 -2.5567926516E+01 -2.1063525221E+01 -8.0002750136E+00 +4.4909428872E+01 +2.3034653323E+02 +3.2820808182E+02 +9.8154114819E+01 +4.5613839623E+01
  797 -5.5725319615E-01 -3.5827341381E+00 -2.9998251888E+01 -1.1988465507E-01 -8.2790065952E+00 +2.8131455737E+01 +3.5792061674E+02 +2.9535437661E+02 +4.4545340594E+01 +2.3938274023E+02
  798 -1.8675634560E+01 -2.4607244951E+01 -2.3756529688E+01 -4.8110799479E-01 -2.0384851182E+01 +3.3988584690E+02 +1.0894399684E+02 +5.0653557760E+01 +2.4079393987E+02 +3.0795210805E+02
  799 -4.4504151527E+00 -2.2358071785E+01 -2.4858359468E+01 -2.3487796012E+01 -3.6209936445E+00 +2.0003816972E+02 +3.2880581699E+02 +2.2645944552E+02 +2.4873898933E+02 +1.8933113694E+02
  800 -2.1058244485E+01 -9.5492956081E+00 -2.5535905570E+01 -2.8946196213E+01 -5.2837210618E-01 +9.7734358688E+01 +1.4666206179E+02 +3.3296756385E+02 +2.9284499771E+01 +3.1612020662E+02
  801 -8.5255726804E+00 -1.8875142125E+01 -1.7063265179E+01 -1.6061317340E+01 -6.6153100583E+00 +2.9311778842E+02 +1.6484277999E+02 +2.4904550028E+02 +1.7986416035E+02 +5.6217906130E+01
  802 -2.6843499646E+01 -1.9802800144E+01 -1.0179727578E+01 -8.3574249280E+00 -1.6351661191E+01 +1.9826887395E+02 +1.0692906745E+02 +3.3508114121E+02 +1.9207256320E+02 +1.4170147333E+02
  803 -3.7267724434E+00 -1.7291317260E+01 -2.7586452202E+01 -1.4027454988E+01 -5.4563207128E+00 +1.4126230182E+02 +2.4251989174E+02 +3.5243835934E+02 +3.4349699287E+01 +2.5976244332E+02
  804 -2.9229411894E+01 -2.1028993791E+01 -2.1298199033E+01 -2.9521321900E+01 -9.2742194004E+00 +7.9133337352E+01 +3.4488237027E+02 +2.4247762897E+02 +2.4586488732E+02 +2.8791808128E+01
  805 -1.4065202365E+01 -6.8189110383E+00 -2.0208187580E+00 -1.1276145281E+01 -1.4896107543E+01 +3.2794945994E+02 +6.8955053886E+01 +4.7431263589E+00 +2.0461090038E+02 +5.9155301417E+01
  806 -9.1773235036E+00 -1.0652610958E+00 -1.8284807461E+01 -1.3548913491E+01 -2.9590906379E+01 +1.9732396819E+02 +2.5259455921E+02 +3.3262103053E+02 +3.8294486804E+01 +1.1823043484E+02
  807 -1.2605490676E+01 -1.1087630208E+01 -2.5472439265E+01 -1.9212420327E+01 -7.0651503958E+00 +2.0747605705E+02 +7.4852207633E+01 +1.8090903689E+02 +2.4185111561E+02 +2.0593816915E+02
  808 -2.5124685746E+01 -2.9558848402E+00 -3.8761271383E+00 -1.4312051472E+01 -9.8103895370E+00 +2.5997486282E+02 +1.3355171715E+02 +1.7354040124E+02 +1.5821919970E+02 +2.4342027772E+02
  809 -9.5334429200E+00 -1.9891253153E+01 -2.9638794813E+01 -1.0825744902E+01 -1.4002333555E+01 +7.9727026790E+01 +3.8118059351E+01 +1.3744773677E+02 +2.2571423748E+02 +1.5611023011E+02
  810 -1.0735723148E+01 -1.0862065017E+01 -1.3023238332E+01 -1.9843445746E+01 -3.1888042934E+00 +2.4102448814E+01 +2.2797200940E+02 +9.0474941810E+01 +2.4065182320E+02 +1.3978904507E+02
  811 -6.3204050997E-01 -1.5099962638E+01 -2.0823967230E+01 -1.2944327282E+01 -4.2383676873E+00 +2.7913799661E+02 +1.2183362993E+02 +1.2762744260E+02 +1.0333091674E+02 +3.1863038003E+02
  812 -2.4257545481E+01 -3.6694878764E+00 -9.3755720287E+00 -1.2401030552E+01 -1.1594949070E+01 +3.3977425918E+02 +3.0525217836E+02 +5.8469996244E+01 +3.2958483386E+02 +8.6688634751E+01
  813 -2.7586336852E+01 -1.4535515090E+01 -2.0482999419E+00 -1.4271647168E+00 -6.2937738233E+00 +1.4330787390E+02 +2.1470422407E+02 +2.6155607693E+02 +2.7565750199E+02 +6.4373100554E+01
  814 -2.2748364305E+01 -1.8644099585E+01 -6.3648646075E+00 -1.5534030919E+01 -8.3998479674E+00 +1.6531605999E+02 +1.8585596115E+02 +4.5214167123E+00 +3.4755117397E+01 +2.3004941283E+02
  815 -2.7122939237E+00 -1.7658273186E+01 -1.8046478893E+01 -2.0475585281E+01 -6.2233248337E+00 +2.0144379019E+02 +1.3131148280E+01 +2.6080920100E+02 +5.4674928401E+01 +1.5923967917E+02
  816 -5.1770916490E+00 -1.0790393626E+01 -2.2654876215E+01 -1.7368886434E+01 -1.9847121313E+01 +1.1152018129E+02 +2.8869516566E+02 +3.0475543323E+02 +2.5150751666E+02 +3.3036075301E+02
  817 -3.8220397561E+00 -1.2690055385E+01 -1.6039895699E+00 -2.7655732539E+01 -1.4771781840E+01 +1.5806517287E+01 +7.3353013372E+01 +2.2584588500E+01 +1.0218210818E+02 +2.8214526780E+02
  818 -1.2440463447E+01 -7.4587422216E+00 -2.8199335822E+01 -2.8439560123E+01 -2.0371764757E+00 +2.2596793299E+01 +1.1415332834E+02 +1.1710185874E+02 +2.9403213258E+02 +1.5135463863E+02
  819 -2.1035151243E+00 -1.1377738016E+01 -2.1730537785E+01 -1.4985244636E+01 -2.4171711808E+01 +1.4954308298E+02 +3.2664630061E+01 +2.5442626138E+02 +5.5811675338E+01 +2.8009950584E+02
  820 -1.4451057031E+01 -2.4162766434E+01 -2.4831529188E+01 -2.3174719118E+01 -2.3504310819E+01 +3.0829236111E+02 +6.9667180965E+01 +6.6770523332E+01 +3.1996690081E+02 +1.5402383609E+02
  821 -2.6228618437E+01 -2.1865637190E+01 -5.2787372258E+00 -2.5890495235E+01 -5.7792132434E+00 +5.6530027400E+01 +1.6443479387E+02 +3.0944957146E+02 +2.7228213209E+02 +1.6145258141E+02
  822 -1.1591817469E+01 -1.4874625888E+01 -9.5595610075E+00 -2.7030593333E+01 -1.2823472953E+01 +1.0614845198E+02 +2.9123418339E+01 +3.2240944834E+02 +7.6134848843E+01 +5.5602869698E+01
  823 -2.8405656566E+01 -1.2021094452E+01 -4.8582681050E+00 -4.6061850821E+00 -1.4023000645E+01 +1.2427383797E+02 +6.5563521574E+01 +4.7079782009E+01 +2.9349056515E+02 +1.3670744015E+02
  824 -2.7367628541E+01 -8.1716062071E+00 -1.9788808959E+01 -2.4856963112E+01 -2.1264648650E+01 +1.3104543720E+01 +2.5169342938E+02 +3.3344052228E+02 +2.5782419401E+02 +4.9635850363E+01
  825 -2.3515517494E+01 -2.1472362240E+01 -2.6445694803E+01 -1.3619794665E+01 -2.8574133094E+01 +3.0704552337E+02 +3.2877235584E+02 +3.9451410506E+01 +2.9124879419E+02 +1.8357052410E+02
  826 -5.7642521027E+00 -4.0834171638E+00 -9.6947093426E+00 -1.9304017449E+00 -1.0181822240E+01 +2.5003513136E+02 +3.6597906142E+01 +2.1586664699E+02 +2.3642319618E+02 +8.8579604299E+01
  827 -1.7046661282E+01 -7.5823617513E+00 -1.3724808166E+01 -2.2769591824E+01 -2.5724578686E+01 +1.9062288597E+02 +1.2891508642E+02 +2.6038681775E+01 +1.5751179965E+02 +4.1626775402E+01
  828 -2.3369174316E+01 -2.3907934054E+01 -3.7575577649E-01 -2.2172936557E+01 -2.3181533280E+01 +1.9818691979E+02 +2.7384369664E+02 +2.4756072802E+01 +9.2466274744E+01 +6.9246448092E+01
  829 -3.7716915790E+00 -4.9966259359E+00 -2.5193404649E+01 -2.9300164502E+01 -1.2898746018E+01 +4.2073985451E+01 +1.4025933472E+02 +7.2532862383E+01 +1.0875506032E+02 +1.7132724567E+02
  830 -2.7363860986E+01 -2.3554436211E+00 -1.9164160152E+01 -2.5319331266E+01 -1.5529941866E+01 +5.8875808714E+01 +8.4987806671E+01 +2.2145834138E+00 +3.2919849428E+02 +3.2452102347E+02
  831 -2.4566446905E+01 -7.5031621581E+00 -1.0943536147E+01 -6.9627607069E+00 -7.9203583556E+00 +3.3106467319E+02 +3.6367408690E+01 +2.2576339101E+02 +7.8787031117E+01 +2.9971477392E+02
  832 -1.5354167597E+00 -2.5297256053E+00 -6.2668546071E+00 -1.1906910250E+01 -1.9848630570E+01 +1.5752579853E+02 +1.1887492658E+02 +1.3997740004E+02 +1.4621455663E+02 +1.6195625134E+02
  833 -2.8684546269E+01 -2.0388052183E+01 -3.2573121888E+00 -8.5618617827E+00 -2.5941695887E+01 +3.5581847910E+02 +2.0550066645E+02 +1.7174499998E+02 +2.2104996507E+02 +1.6788017524E+02
  834 -9.5516234676E+00 -8.0798903434E+00 -1.9559985038E+01 -2.4653970567E+01 -8.2934029874E+00 +2.2030301632E+02 +1.1157284198E+01 +5.5811728423E+01 +1.9257316131E+02 +9.4374474867E+01
  835 -4.1995696019E+00 -1.1983923007E+01 -2.1226658490E+00 -1.8727263383E+01 -2.7816586092E+00 +1.9798156517E+02 +8.1494329169E+01 +9.2964860424E+01 +2.6060971564E+02 +1.5396216843E+02
  836 -1.1648456340E+01 -8.1327801740E+00 -8.2483474365E+00 -1.7427288337E+01 -1.9569977509E+01 +2.0803896156E+02 +3.4918602001E+02 +1.2027382338E+02 +1.0021610892E+02 +2.2011569027E+02
  837 -2.1711607792E+00 -5.9275948445E+00 -9.0227275626E+00 -3.4542558230E+00 -1.4913893635E+01 +2.6734741043E+02 +9.3773705744E+01 +5.6517013470E+01 +6.4877868407E+01 +3.3170455986E+02
  838 -1.4142933478E+01 -2.6587632178E+00 -1.5892690876E+01 -2.8631681535E+01 -2.1574972704E+01 +2.5771754870E+02 +2.8635613834E+02 +1.4899021438E+02 +2.8133733277E+02 +9.6758637411E+01
  839 -1.1220397522E+01 -5.7809863729E+00 -2.4953016029E+01 -1.7062659043E+01 -5.4995997868E+00 +4.1154683607E+01 +6.7705967938E+01 +6.7532365016E+01 +3.0154793489E+02 +3.3856551370E+02
  840 -2.3874299775E+01 -6.0493003595E+00 -1.2338030177E+01 -1.8782896113E+01 -5.6787051037E+00 +2.4360412990E+02 +2.7704878473E+02 +2.6649577602E+02 +1.1373613555E+02 +1.8146069362E+02
  841 -1.8752551254E+01 -2.5616547196E+01 -2.5960275588E+01 -1.2709577991E+01 -6.4533569970E+00 +1.3408447506E+02 +2.2417594659E+02 +4.4864137560E+01 +2.5765633004E+02 +2.7480837477E+02
  842 -6.1421871842E+00 -9.4033846772E+00 -1.5695918437E+01 -2.8744732267E+01 -2.6018364584E+01 +1.2306196520E+02 +3.5801620781E+01 +2.5963136422E+02 +3.1280698477E+02 +7.2723719156E+01
  843 -1.6579231115E+00 -1.3288034226E+01 -2.3155961939E+01 -9.4046664921E+00 -1.9946887087E+01 +3.0552781186E+01 +1.7587606904E+02 +2.7533688866E+02 +2.1887230108E+02 +1.5597557286E+02
  844 -1.3913476932E+01 -1.0885501872E+01 -2.2075768448E+01 -2.2993216029E+01 -2.2677130212E+01 +1.3878045388E+02 +1.7234588051E+02 +1.7584389787E+02 +1.7523756004E+02 +2.8529739660E+02
  845 -1.8454177777E+01 -5.8527506600E-01 -6.3900124442E+00 -2.7374844187E+01 -1.6270848046E+01 +2.4173818492E+02 +4.1285461830E+01 +2.2032144963E+02 +3.5145616619E+01 +2.8804460742E+02
  846 -2.2860009218E+01 -2.0198590965E+01 -5.3329681886E+00 -1.2592233525E+01 -1.7464100107E+01 +1.5039414125E+02 +1.5870628565E+02 +6.1294313762E+01 +1.5260113536E+02 +3.4818691392E+02
  847 -6.4157566572E+00 -1.9025908904E+01 -3.1045314286E+00 -2.5609440236E+01 -6.7574621056E+00 +1.0549185847E+02 +3.5821826175E+02 +6.9966020617E+00 +3.5040100190E+02 +1.4160813228E+02
  848 -1.7686310143E+01 -6.1401694064E+00 -9.3165590438E+00 -2.2409705165E+01 -2.7747970132E+01 +6.4393603138E+01 +7.8279602908E+01 +2.4094445500E+02 +1.8267442448E+02 +1.7721096629E+02
  849 -2.5451947244E+00 -2.0401664589E+01 -2.6230729131E+01 -2.1834454828E+01 -2.5403807190E+01 +3.3843099727E+02 +4.1769626236E+01 +5.9990449958E+01 +3.4108362958E+02 +4.6878331462E+01
  850 -7.7806802466E+00 -1.9097713856E+01 -2.2504733014E+00 -1.4146325892E+01 -2.2891745305E+01 +5.6916867257E+01 +1.8811318757E+02 +8.7945407104E+01 +1.5697201252E+02 +1.3975016006E+02
  851 -6.0409202496E+00 -1.0456507850E+01 -3.5592044048E+00 -2.2242384478E+01 -3.3849093484E-01 +4.5630655292E+01 +2.3798885774E+02 +2.5429583849E+02 +1.1043917203E+02 +3.2691346044E+02
  852 -2.9114615962E+00 -1.6512709654E+01 -2.7235329585E+01 -2.1123689055E+01 -5.9872438429E-01 +5.5713422214E+01 +7.0538898917E+01 +2.7430807750E+02 +1.8847901225E+02 +3.4162640180E+02
  853 -2.8093446516E+01 -1.5270278498E+01 -8.2592278689E+00 -1.4657495858E+01 -5.5279202394E+00 +9.2831988946E+01 +1.4752242983E+02 +5.7371796748E+01 +3.3567721908E+02 +1.0875425455E+02
  854 -2.5954920260E+01 -1.4170901970E+01 -2.1663777200E+01 -1.1017048544E+01 -2.9245583808E+00 +1.7237331742E+02 +1.1215237934E+02 +1.7441924248E+02 +1.5816311601E+02 +2.2511409100E+02
  855 -2.8383618575E+01 -2.5069709006E+01 -2.2293018927E+01 -1.7871612221E+00 -2.8422751148E+01 +5.8191653721E+01 +2.3767245495E+02 +2.4271736079E+02 +2.7833181817E+02 +2.6463714696E+02
  856 -4.1845948717E+00 -2.0505308484E+01 -1.9922889865E+01 -4.2358960439E+00 -2.9585840213E+01 +2.1543347255E+02 +2.8422151674E+02 +4.8188631621E+01 +2.5318281052E+02 +9.9424066290E+01
  857 -2.7769623506E+01 -7.8720797279E+00 -4.4869746565E-01 -4.8044837954E+00 -6.1157453866E+00 +2.9047657512E+02 +1.4759239243E+02 +3.5864074276E+02 +2.1381151521E+02 +1.9089822144E+02
  858 -6.8285545550E-01 -2.7768320008E+01 -2.6583294558E+01 -3.4058471191E+00 -1.3495542854E+01 +3.2744302328E+02 +2.5774798959E+02 +9.2603474485E+00 +1.9879322285E+02 +1.7167974704E+01
  859 -2.3620387373E+01 -5.7779121772E+00 -1.7626172391E+00 -1.4671838704E+01 -4.5630820188E+00 +1.8806826171E+02 +2.8837977130E+02 +3.4334482940E+02 +2.4871472717E+02 +2.6052693952E+02
  860 -2.3373526331E+01 -1.6540340404E+01 -1.0227905729E+01 -2.6010501569E+01 -2.2078803479E+00 +1.3787450509E+02 +2.0238117548E+02 +3.3270672518E+02 +2.8255382411E+02 +3.3328253333E+01
  861 -1.9943270282E+01 -1.9275365092E+01 -2.0075546844E+01 -2.3545790328E+01 -6.1799015874E+00 +2.9207735562E+02 +2.0570719156E+02 +1.5387912381E+02 +1.3933716710E+02 +1.1447890343E+02
  862 -2.6882899538E+01 -6.5529153339E+00 -2.0437947033E+01 -2.2894192930E+01 -2.9961563339E+01 +2.3425799328E+02 +1.1905715931E+02 +2.7937191584E+02 +1.3206222013E+02 +3.4606022755E+02
  863 -1.8404673460E+01 -1.7995596266E+01 -2.2805320802E+01 -2.6647651549E+01 -2.4631419907E+01 +3.5515958027E+02 +2.3026530996E+02 +2.6718378950E+02 +3.2337422861E+02 +1.5400225786E+02
  864 -1.0299546621E+01 -1.5974418246E+01 -1.7750840602E+01 -2.6351803097E+01 -2.9460029040E+01 +1.2936595195E+02 +2.9346891395E+02 +6.0841276214E+01 +1.1915344318E+02 +2.9442391432E+02
  865 -1.0552772831E+01 -4.1321585319E+00 -2.4013342843E+01 -4.0197972307E+00 -8.3226441173E+00 +1.7633477414E+02 +9.5428029730E+01 +1.2924549848E+02 +6.5999924602E+01 +9.3425374420E+01
  866 -1.3175121764E+01 -1.2155567756E+01 -1.1512581460E+00 -2.3756303596E+01 -8.8188308319E+00 +1.5468497746E+02 +2.7689858054E+00 +2.3226844137E+02 +2.4481631722E+01 +2.4792316719E+02
  867 -2.0943587038E+00 -8.2132464452E+00 -2.0237553426E+01 -1.5734006670E+01 -1.3524991953E+01 +9.0218207027E+00 +3.2410651182E+00 +1.9382719171E+02 +2.4395875237E+02 +1.4707506990E+02
  868 -2.8878718434E+01 -1.4130469645E+00 -7.7113511451E+00 -2.3009607574E+01 -1.0821145316E+01 +2.9011810234E+02 +2.9078993705E+02 +8.3525535510E+01 +1.6014547552E+02 +2.6949904163E+02
  869 -2.4474389848E+01 -2.5893496458E+01 -1.2153325078E+01 -2.8893510292E+01 -1.5976254179E+01 +9.4915585067E+01 +7.0849313168E+01 +1.0157426270E+02 +3.4312358963E+02 +1.7908547454E+02
  870 -9.7011257183E+00 -2.8363223580E+01 -2.2528819356E+01 -1.2670013407E+01 -8.9462421991E-01 +9.8724557425E+00 +3.2461825758E+02 +2.9072744282E+02 +2.0381400879E+02 +1.3218366442E+02
  871 -1.5988883148E+01 -2.1263994744E+01 -2.2275698004E+01 -1.6690315558E+01 -1.7166206058E+01 +2.0175942571E+02 +2.0098370087E+01 +1.7591958860E+02 +6.4916548494E+01 +2.9546118116E+02
  872 -2.2006633454E+01 -1.6206882629E+01 -2.5446224531E+01 -2.3468697062E+01 -1.0145555696E+01 +3.2464167582E+02 +2.2085812746E+02 +2.8417940991E+02 +1.0882086328E+02 +4.1596986657E+01
  873 -8.7706328134E+00 -2.7123479868E+01 -9.2094911059E+00 -1.4917566439E+01 -1.3718080087E+01 +2.9535213843E+02 +2.0729890309E+02 +1.8338295122E+02 +2.3670535327E+02 +3.6907122434E+01
  874 -1.2100903989E+01 -1.2772493216E+01 -8.0390060144E+00 -9.3568839601E+00 -1.2660103714E+01 +2.8014492215E+02 +9.5167660304E+01 +1.6360446386E+02 +3.5324613950E+02 +1.5736697809E+02
  875 -2.0794727739E+01 -1.5464224876E+01 -1.3227428645E+01 -2.3273555441E+01 -1.5773611130E+01 +9.9080742657E+01 +7.3190089219E+01 +2.6955672496E+02 +1.0399517382E+00 +8.4492953750E+01
  876 -1.4450416130E+01 -1.7502047015E+01 -2.4454296852E+01 -2.6546564279E+01 -2.9094998198E+01 +2.5525174225E+02 +2.0524330194E+02 +3.2344563450E+02 +2.9897412242E+02 +1.3791920228E+02
  877 -4.1136171118E+00 -2.6629363778E+01 -8.4604496667E+00 -7.9423170836E+00 -9.4361596719E-01 +2.2929457270E+02 +1.2567455729E+02 +2.0123270587E+02 +1.2311478391E+02 +3.1930230428E+02
  878 -2.2585152405E+01 -1.0718799978E+01 -1.4833547660E+01 -2.4883218020E+01 -1.6700566947E+00 +1.1193162847E+02 +5.2668373110E+01 +1.6969749146E+02 +2.9549038279E+02 +2.9363646266E+02
  879 -2.2658141069E+01 -1.8191082637E+01 -2.1993251255E+01 -2.7817696123E+01 -4.9052328560E-01 +2.7031959921E+02 +1.8877782842E+02 +1.0561836217E+02 +3.1823912376E+02 +2.5571587528E+02
  880 -8.4512835776E+00 -2.7537187334E+00 -2.9323836484E+01 -1.6847628980E+01 -2.9865769541E+01 +7.5734050192E+01 +3.1247492697E+02 +2.0835789640E+02 +1.4197214558E+02 +5.6480890690E-02
  881 -2.3087095844E+01 -1.5512125251E+00 -4.1804368590E+00 -2.9835997510E+01 -6.3703067779E+00 +6.4631756144E+00 +2.8593172250E+02 +2.5083782950E+02 +1.5534215887E+02 +2.3347962477E+02
